Episode: 1, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 2, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 3, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 4, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 5, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 6, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 7, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 8, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 9, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 10, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 11, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 12, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 13, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 14, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 15, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 16, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 17, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 18, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 19, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 20, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 21, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 22, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 23, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 24, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 25, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 26, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 27, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 28, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 29, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 30, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 31, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 32, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 33, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 34, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 35, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 36, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 37, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 38, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 39, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 40, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 41, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 42, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 43, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 44, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 45, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 46, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 47, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 48, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 49, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 50, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 51, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
