Episode: 1, v_vector: tensor([[0.5000, 0.5000]]) 
Episode: 2, v_vector: tensor([[0.5001, 0.5001]]) 
Episode: 3, v_vector: tensor([[0.5001, 0.5001]]) 
Episode: 4, v_vector: tensor([[0.5001, 0.5001]]) 
Episode: 5, v_vector: tensor([[0.5002, 0.5002]]) 
Episode: 6, v_vector: tensor([[0.5002, 0.5002]]) 
Episode: 7, v_vector: tensor([[0.5002, 0.5002]]) 
Episode: 8, v_vector: tensor([[0.5003, 0.5003]]) 
Episode: 9, v_vector: tensor([[0.5003, 0.5003]]) 
Episode: 10, v_vector: tensor([[0.5003, 0.5003]]) 
Episode: 11, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 12, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 13, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 14, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 15, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 16, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 17, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 18, v_vector: tensor([[0.5004, 0.5003]]) 
Episode: 19, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 20, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 21, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 22, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 23, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 24, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 25, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 26, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 27, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 28, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 29, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 30, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 31, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 32, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 33, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 34, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 35, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 36, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 37, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 38, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 39, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 40, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 41, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 42, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 43, v_vector: tensor([[0.5006, 0.5001]]) 
Episode: 44, v_vector: tensor([[0.5006, 0.5001]]) 
Episode: 45, v_vector: tensor([[0.5006, 0.5001]]) 
Episode: 46, v_vector: tensor([[0.5006, 0.5001]]) 
Episode: 47, v_vector: tensor([[0.5005, 0.5001]]) 
Episode: 48, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 49, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 50, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 51, v_vector: tensor([[0.5005, 0.5002]]) 
