Episode: 1, v_vector: tensor([[1., 1., 1., 1., 1.]]) 
Episode: 2, v_vector: tensor([[1.0003, 1.0003, 1.0003, 1.0003, 1.0003]]) 
Episode: 3, v_vector: tensor([[1.0005, 1.0005, 1.0005, 1.0005, 1.0005]]) 
Episode: 4, v_vector: tensor([[1.0007, 1.0007, 1.0007, 1.0007, 1.0007]]) 
Episode: 5, v_vector: tensor([[1.0009, 1.0009, 1.0009, 1.0009, 1.0010]]) 
Episode: 6, v_vector: tensor([[1.0011, 1.0011, 1.0011, 1.0011, 1.0012]]) 
Episode: 7, v_vector: tensor([[1.0013, 1.0013, 1.0013, 1.0013, 1.0014]]) 
Episode: 8, v_vector: tensor([[1.0015, 1.0015, 1.0015, 1.0015, 1.0016]]) 
Episode: 9, v_vector: tensor([[1.0017, 1.0017, 1.0017, 1.0017, 1.0018]]) 
Episode: 10, v_vector: tensor([[1.0018, 1.0018, 1.0019, 1.0018, 1.0019]]) 
Episode: 11, v_vector: tensor([[1.0020, 1.0020, 1.0020, 1.0020, 1.0020]]) 
Episode: 12, v_vector: tensor([[1.0021, 1.0021, 1.0022, 1.0021, 1.0022]]) 
Episode: 13, v_vector: tensor([[1.0023, 1.0022, 1.0023, 1.0022, 1.0023]]) 
Episode: 14, v_vector: tensor([[1.0023, 1.0022, 1.0024, 1.0023, 1.0024]]) 
Episode: 15, v_vector: tensor([[1.0025, 1.0023, 1.0025, 1.0025, 1.0024]]) 
Episode: 16, v_vector: tensor([[1.0026, 1.0024, 1.0027, 1.0026, 1.0024]]) 
Episode: 17, v_vector: tensor([[1.0028, 1.0025, 1.0028, 1.0028, 1.0024]]) 
Episode: 18, v_vector: tensor([[1.0029, 1.0027, 1.0030, 1.0030, 1.0024]]) 
Episode: 19, v_vector: tensor([[1.0031, 1.0027, 1.0031, 1.0031, 1.0024]]) 
Episode: 20, v_vector: tensor([[1.0033, 1.0028, 1.0032, 1.0033, 1.0024]]) 
Episode: 21, v_vector: tensor([[1.0034, 1.0030, 1.0033, 1.0033, 1.0024]]) 
Episode: 22, v_vector: tensor([[1.0036, 1.0031, 1.0034, 1.0033, 1.0024]]) 
Episode: 23, v_vector: tensor([[1.0037, 1.0032, 1.0036, 1.0033, 1.0024]]) 
Episode: 24, v_vector: tensor([[1.0039, 1.0034, 1.0038, 1.0033, 1.0024]]) 
Episode: 25, v_vector: tensor([[1.0039, 1.0035, 1.0040, 1.0033, 1.0025]]) 
Episode: 26, v_vector: tensor([[1.0040, 1.0035, 1.0041, 1.0032, 1.0026]]) 
Episode: 27, v_vector: tensor([[1.0040, 1.0037, 1.0043, 1.0032, 1.0026]]) 
Episode: 28, v_vector: tensor([[1.0040, 1.0037, 1.0045, 1.0031, 1.0026]]) 
Episode: 29, v_vector: tensor([[1.0041, 1.0038, 1.0046, 1.0031, 1.0025]]) 
Episode: 30, v_vector: tensor([[1.0041, 1.0038, 1.0047, 1.0030, 1.0024]]) 
