Episode: 1, v_vector: tensor([[-0.0030,  0.0268, -0.0014, -0.0084,  0.0029]], device='cuda:0') 
Episode: 2, v_vector: tensor([[-0.0026,  0.0264, -0.0010, -0.0088,  0.0025]], device='cuda:0') 
Episode: 3, v_vector: tensor([[-0.0022,  0.0266, -0.0006, -0.0089,  0.0027]], device='cuda:0') 
Episode: 4, v_vector: tensor([[-0.0018,  0.0268, -0.0003, -0.0089,  0.0025]], device='cuda:0') 
Episode: 5, v_vector: tensor([[-1.4549e-03,  2.7028e-02, -2.9402e-05, -8.6771e-03,  2.6475e-03]],
       device='cuda:0') 
Episode: 6, v_vector: tensor([[-0.0015,  0.0272,  0.0003, -0.0086,  0.0029]], device='cuda:0') 
Episode: 7, v_vector: tensor([[-0.0016,  0.0274,  0.0006, -0.0085,  0.0032]], device='cuda:0') 
Episode: 8, v_vector: tensor([[-0.0018,  0.0275,  0.0009, -0.0085,  0.0036]], device='cuda:0') 
Episode: 9, v_vector: tensor([[-0.0020,  0.0277,  0.0013, -0.0085,  0.0039]], device='cuda:0') 
Episode: 10, v_vector: tensor([[-0.0023,  0.0280,  0.0015, -0.0086,  0.0043]], device='cuda:0') 
Episode: 11, v_vector: tensor([[-0.0026,  0.0282,  0.0018, -0.0086,  0.0047]], device='cuda:0') 
Episode: 12, v_vector: tensor([[-0.0030,  0.0285,  0.0020, -0.0085,  0.0050]], device='cuda:0') 
Episode: 13, v_vector: tensor([[-0.0033,  0.0288,  0.0022, -0.0085,  0.0054]], device='cuda:0') 
Episode: 14, v_vector: tensor([[-0.0037,  0.0291,  0.0023, -0.0086,  0.0058]], device='cuda:0') 
Episode: 15, v_vector: tensor([[-0.0041,  0.0294,  0.0023, -0.0087,  0.0062]], device='cuda:0') 
Episode: 16, v_vector: tensor([[-0.0045,  0.0298,  0.0024, -0.0089,  0.0066]], device='cuda:0') 
Episode: 17, v_vector: tensor([[-0.0049,  0.0301,  0.0024, -0.0091,  0.0070]], device='cuda:0') 
Episode: 18, v_vector: tensor([[-0.0053,  0.0305,  0.0024, -0.0093,  0.0074]], device='cuda:0') 
Episode: 19, v_vector: tensor([[-0.0057,  0.0309,  0.0023, -0.0096,  0.0078]], device='cuda:0') 
Episode: 20, v_vector: tensor([[-0.0062,  0.0313,  0.0024, -0.0099,  0.0083]], device='cuda:0') 
Episode: 21, v_vector: tensor([[-0.0066,  0.0317,  0.0024, -0.0102,  0.0087]], device='cuda:0') 
Episode: 22, v_vector: tensor([[-0.0070,  0.0321,  0.0024, -0.0105,  0.0091]], device='cuda:0') 
Episode: 23, v_vector: tensor([[-0.0075,  0.0325,  0.0024, -0.0108,  0.0096]], device='cuda:0') 
Episode: 24, v_vector: tensor([[-0.0079,  0.0329,  0.0024, -0.0111,  0.0100]], device='cuda:0') 
Episode: 25, v_vector: tensor([[-0.0084,  0.0333,  0.0024, -0.0114,  0.0105]], device='cuda:0') 
Episode: 26, v_vector: tensor([[-0.0088,  0.0336,  0.0026, -0.0117,  0.0110]], device='cuda:0') 
Episode: 27, v_vector: tensor([[-0.0093,  0.0341,  0.0028, -0.0121,  0.0114]], device='cuda:0') 
Episode: 28, v_vector: tensor([[-0.0098,  0.0345,  0.0031, -0.0125,  0.0119]], device='cuda:0') 
Episode: 29, v_vector: tensor([[-0.0103,  0.0349,  0.0034, -0.0129,  0.0124]], device='cuda:0') 
Episode: 30, v_vector: tensor([[-0.0107,  0.0353,  0.0038, -0.0133,  0.0129]], device='cuda:0') 
Episode: 31, v_vector: tensor([[-0.0111,  0.0358,  0.0040, -0.0136,  0.0133]], device='cuda:0') 
Episode: 32, v_vector: tensor([[-0.0115,  0.0362,  0.0042, -0.0139,  0.0138]], device='cuda:0') 
Episode: 33, v_vector: tensor([[-0.0117,  0.0364,  0.0045, -0.0141,  0.0140]], device='cuda:0') 
Episode: 34, v_vector: tensor([[-0.0120,  0.0367,  0.0047, -0.0143,  0.0142]], device='cuda:0') 
Episode: 35, v_vector: tensor([[-0.0122,  0.0369,  0.0049, -0.0146,  0.0144]], device='cuda:0') 
Episode: 36, v_vector: tensor([[-0.0124,  0.0372,  0.0051, -0.0148,  0.0147]], device='cuda:0') 
Episode: 37, v_vector: tensor([[-0.0127,  0.0374,  0.0054, -0.0151,  0.0150]], device='cuda:0') 
Episode: 38, v_vector: tensor([[-0.0131,  0.0376,  0.0057, -0.0155,  0.0153]], device='cuda:0') 
Episode: 39, v_vector: tensor([[-0.0134,  0.0380,  0.0061, -0.0158,  0.0156]], device='cuda:0') 
Episode: 40, v_vector: tensor([[-0.0138,  0.0384,  0.0064, -0.0162,  0.0160]], device='cuda:0') 
Episode: 41, v_vector: tensor([[-0.0142,  0.0388,  0.0068, -0.0166,  0.0164]], device='cuda:0') 
Episode: 42, v_vector: tensor([[-0.0146,  0.0392,  0.0072, -0.0169,  0.0168]], device='cuda:0') 
Episode: 43, v_vector: tensor([[-0.0150,  0.0396,  0.0075, -0.0173,  0.0172]], device='cuda:0') 
Episode: 44, v_vector: tensor([[-0.0154,  0.0400,  0.0080, -0.0177,  0.0177]], device='cuda:0') 
Episode: 45, v_vector: tensor([[-0.0159,  0.0405,  0.0084, -0.0182,  0.0182]], device='cuda:0') 
Episode: 46, v_vector: tensor([[-0.0164,  0.0410,  0.0089, -0.0186,  0.0186]], device='cuda:0') 
Episode: 47, v_vector: tensor([[-0.0169,  0.0414,  0.0093, -0.0190,  0.0190]], device='cuda:0') 
Episode: 48, v_vector: tensor([[-0.0173,  0.0418,  0.0097, -0.0192,  0.0194]], device='cuda:0') 
Episode: 49, v_vector: tensor([[-0.0177,  0.0423,  0.0102, -0.0195,  0.0199]], device='cuda:0') 
Episode: 50, v_vector: tensor([[-0.0181,  0.0425,  0.0104, -0.0194,  0.0203]], device='cuda:0') 
Episode: 51, v_vector: tensor([[-0.0186,  0.0427,  0.0107, -0.0192,  0.0208]], device='cuda:0') 
Episode: 52, v_vector: tensor([[-0.0190,  0.0429,  0.0109, -0.0191,  0.0213]], device='cuda:0') 
Episode: 53, v_vector: tensor([[-0.0188,  0.0427,  0.0107, -0.0188,  0.0211]], device='cuda:0') 
Episode: 54, v_vector: tensor([[-0.0187,  0.0425,  0.0105, -0.0185,  0.0209]], device='cuda:0') 
Episode: 55, v_vector: tensor([[-0.0185,  0.0423,  0.0103, -0.0183,  0.0208]], device='cuda:0') 
Episode: 56, v_vector: tensor([[-0.0184,  0.0421,  0.0102, -0.0181,  0.0206]], device='cuda:0') 
Episode: 57, v_vector: tensor([[-0.0182,  0.0420,  0.0100, -0.0178,  0.0205]], device='cuda:0') 
Episode: 58, v_vector: tensor([[-0.0181,  0.0418,  0.0099, -0.0177,  0.0204]], device='cuda:0') 
Episode: 59, v_vector: tensor([[-0.0180,  0.0417,  0.0098, -0.0175,  0.0203]], device='cuda:0') 
