Train Episode: 1	Loss: 3.824712	Accuracy: 0.000	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000	MetaParam_4: 0.000000	MetaParam_5: 0.000000	MetaParam_6: 0.000000	MetaParam_7: 0.000000	MetaParam_8: 0.000000	MetaParam_9: 0.000000	MetaParam_10: 0.000000
Train Episode: 2	Loss: 2.391754	Accuracy: 0.200	MetaParam_1: 0.001100	MetaParam_2: 0.000100	MetaParam_3: -0.000100	MetaParam_4: -0.000100	MetaParam_5: 0.000100	MetaParam_6: 0.000100	MetaParam_7: -0.000100	MetaParam_8: -0.000100	MetaParam_9: -0.000100	MetaParam_10: 0.000100
Train Episode: 3	Loss: 1.916780	Accuracy: 0.220	MetaParam_1: 0.001184	MetaParam_2: 0.000175	MetaParam_3: -0.000191	MetaParam_4: -0.000178	MetaParam_5: 0.000176	MetaParam_6: 0.000178	MetaParam_7: -0.000174	MetaParam_8: -0.000175	MetaParam_9: -0.000174	MetaParam_10: 0.000178
Train Episode: 4	Loss: 1.957135	Accuracy: 0.200	MetaParam_1: 0.001271	MetaParam_2: 0.000256	MetaParam_3: -0.000284	MetaParam_4: -0.000265	MetaParam_5: 0.000259	MetaParam_6: 0.000261	MetaParam_7: -0.000252	MetaParam_8: -0.000250	MetaParam_9: -0.000254	MetaParam_10: 0.000251
Train Episode: 5	Loss: 2.002810	Accuracy: 0.080	MetaParam_1: 0.001360	MetaParam_2: 0.000309	MetaParam_3: -0.000378	MetaParam_4: -0.000294	MetaParam_5: 0.000293	MetaParam_6: 0.000281	MetaParam_7: -0.000309	MetaParam_8: -0.000290	MetaParam_9: -0.000321	MetaParam_10: 0.000284
Train Episode: 6	Loss: 1.905034	Accuracy: 0.260	MetaParam_1: 0.001446	MetaParam_2: 0.000372	MetaParam_3: -0.000474	MetaParam_4: -0.000336	MetaParam_5: 0.000349	MetaParam_6: 0.000316	MetaParam_7: -0.000374	MetaParam_8: -0.000324	MetaParam_9: -0.000395	MetaParam_10: 0.000310
Train Episode: 7	Loss: 2.591829	Accuracy: 0.200	MetaParam_1: 0.001537	MetaParam_2: 0.000408	MetaParam_3: -0.000562	MetaParam_4: -0.000383	MetaParam_5: 0.000376	MetaParam_6: 0.000375	MetaParam_7: -0.000407	MetaParam_8: -0.000287	MetaParam_9: -0.000463	MetaParam_10: 0.000313
Train Episode: 8	Loss: 2.533287	Accuracy: 0.220	MetaParam_1: 0.001487	MetaParam_2: 0.000459	MetaParam_3: -0.000512	MetaParam_4: -0.000434	MetaParam_5: 0.000426	MetaParam_6: 0.000426	MetaParam_7: -0.000459	MetaParam_8: -0.000337	MetaParam_9: -0.000515	MetaParam_10: 0.000263
Train Episode: 9	Loss: 1.817611	Accuracy: 0.140	MetaParam_1: 0.001421	MetaParam_2: 0.000521	MetaParam_3: -0.000551	MetaParam_4: -0.000499	MetaParam_5: 0.000412	MetaParam_6: 0.000484	MetaParam_7: -0.000522	MetaParam_8: -0.000403	MetaParam_9: -0.000474	MetaParam_10: 0.000311
Train Episode: 10	Loss: 1.373805	Accuracy: 0.500	MetaParam_1: 0.001369	MetaParam_2: 0.000582	MetaParam_3: -0.000583	MetaParam_4: -0.000574	MetaParam_5: 0.000427	MetaParam_6: 0.000552	MetaParam_7: -0.000510	MetaParam_8: -0.000420	MetaParam_9: -0.000413	MetaParam_10: 0.000361
Train Episode: 11	Loss: 1.714795	Accuracy: 0.100	MetaParam_1: 0.001368	MetaParam_2: 0.000565	MetaParam_3: -0.000608	MetaParam_4: -0.000589	MetaParam_5: 0.000384	MetaParam_6: 0.000557	MetaParam_7: -0.000460	MetaParam_8: -0.000377	MetaParam_9: -0.000357	MetaParam_10: 0.000393
Train Episode: 12	Loss: 1.923769	Accuracy: 0.180	MetaParam_1: 0.001327	MetaParam_2: 0.000599	MetaParam_3: -0.000580	MetaParam_4: -0.000639	MetaParam_5: 0.000377	MetaParam_6: 0.000561	MetaParam_7: -0.000468	MetaParam_8: -0.000349	MetaParam_9: -0.000370	MetaParam_10: 0.000391
Train Episode: 13	Loss: 3.227020	Accuracy: 0.040	MetaParam_1: 0.001333	MetaParam_2: 0.000655	MetaParam_3: -0.000564	MetaParam_4: -0.000704	MetaParam_5: 0.000360	MetaParam_6: 0.000609	MetaParam_7: -0.000483	MetaParam_8: -0.000356	MetaParam_9: -0.000389	MetaParam_10: 0.000423
Train Episode: 14	Loss: 2.235850	Accuracy: 0.340	MetaParam_1: 0.001359	MetaParam_2: 0.000724	MetaParam_3: -0.000527	MetaParam_4: -0.000780	MetaParam_5: 0.000392	MetaParam_6: 0.000673	MetaParam_7: -0.000522	MetaParam_8: -0.000390	MetaParam_9: -0.000434	MetaParam_10: 0.000479
Train Episode: 15	Loss: 2.465053	Accuracy: 0.240	MetaParam_1: 0.001411	MetaParam_2: 0.000792	MetaParam_3: -0.000532	MetaParam_4: -0.000843	MetaParam_5: 0.000447	MetaParam_6: 0.000737	MetaParam_7: -0.000577	MetaParam_8: -0.000445	MetaParam_9: -0.000493	MetaParam_10: 0.000536
Train Episode: 16	Loss: 0.719292	Accuracy: 0.740	MetaParam_1: 0.001459	MetaParam_2: 0.000841	MetaParam_3: -0.000580	MetaParam_4: -0.000892	MetaParam_5: 0.000496	MetaParam_6: 0.000785	MetaParam_7: -0.000626	MetaParam_8: -0.000494	MetaParam_9: -0.000541	MetaParam_10: 0.000584
Train Episode: 17	Loss: 1.721518	Accuracy: 0.520	MetaParam_1: 0.001504	MetaParam_2: 0.000885	MetaParam_3: -0.000624	MetaParam_4: -0.000936	MetaParam_5: 0.000540	MetaParam_6: 0.000829	MetaParam_7: -0.000670	MetaParam_8: -0.000538	MetaParam_9: -0.000585	MetaParam_10: 0.000628
Train Episode: 18	Loss: 1.950468	Accuracy: 0.220	MetaParam_1: 0.001549	MetaParam_2: 0.000925	MetaParam_3: -0.000679	MetaParam_4: -0.000976	MetaParam_5: 0.000577	MetaParam_6: 0.000869	MetaParam_7: -0.000712	MetaParam_8: -0.000579	MetaParam_9: -0.000629	MetaParam_10: 0.000667
Train Episode: 19	Loss: 2.865460	Accuracy: 0.300	MetaParam_1: 0.001588	MetaParam_2: 0.000963	MetaParam_3: -0.000726	MetaParam_4: -0.001014	MetaParam_5: 0.000612	MetaParam_6: 0.000905	MetaParam_7: -0.000752	MetaParam_8: -0.000619	MetaParam_9: -0.000671	MetaParam_10: 0.000702
Train Episode: 20	Loss: 1.067488	Accuracy: 0.680	MetaParam_1: 0.001623	MetaParam_2: 0.000997	MetaParam_3: -0.000769	MetaParam_4: -0.001048	MetaParam_5: 0.000645	MetaParam_6: 0.000938	MetaParam_7: -0.000788	MetaParam_8: -0.000655	MetaParam_9: -0.000708	MetaParam_10: 0.000734
Train Episode: 21	Loss: 1.926987	Accuracy: 0.280	MetaParam_1: 0.001655	MetaParam_2: 0.001028	MetaParam_3: -0.000807	MetaParam_4: -0.001079	MetaParam_5: 0.000674	MetaParam_6: 0.000968	MetaParam_7: -0.000821	MetaParam_8: -0.000687	MetaParam_9: -0.000742	MetaParam_10: 0.000763
Train Episode: 22	Loss: 0.877360	Accuracy: 0.680	MetaParam_1: 0.001669	MetaParam_2: 0.001030	MetaParam_3: -0.000843	MetaParam_4: -0.001095	MetaParam_5: 0.000684	MetaParam_6: 0.000982	MetaParam_7: -0.000818	MetaParam_8: -0.000716	MetaParam_9: -0.000746	MetaParam_10: 0.000780
Train Episode: 23	Loss: 1.199100	Accuracy: 0.520	MetaParam_1: 0.001682	MetaParam_2: 0.001032	MetaParam_3: -0.000876	MetaParam_4: -0.001109	MetaParam_5: 0.000694	MetaParam_6: 0.000995	MetaParam_7: -0.000815	MetaParam_8: -0.000741	MetaParam_9: -0.000747	MetaParam_10: 0.000797
Train Episode: 24	Loss: 2.012851	Accuracy: 0.280	MetaParam_1: 0.001694	MetaParam_2: 0.001033	MetaParam_3: -0.000906	MetaParam_4: -0.001123	MetaParam_5: 0.000702	MetaParam_6: 0.001008	MetaParam_7: -0.000812	MetaParam_8: -0.000764	MetaParam_9: -0.000749	MetaParam_10: 0.000812
